date,T2M,PRECTOTCORR_SUM,QV2M
2000-01-01,21.38,0.66,9.27
2000-02-01,24.44,52.0,10.74
2000-03-01,25.75,0.05,9.1
2000-04-01,28.36,51.33,12.07
2000-05-01,26.25,60.62,14.17
2000-06-01,23.4,68.67,14.27
2000-07-01,23.4,123.49,14.18
2000-08-01,22.35,187.79,15.14
2000-09-01,22.89,211.34,15.7
2000-10-01,21.59,207.5,14.37
2000-11-01,20.2,20.0,13.24
2000-12-01,18.62,17.1,10.26
2001-01-01,21.1,0.84,9.99
2001-02-01,24.65,0.05,7.73
2001-03-01,27.7,0.9,8.95
2001-04-01,26.16,246.34,13.01
2001-05-01,25.7,48.55,14.95
2001-06-01,23.96,30.59,14.46
2001-07-01,23.48,104.34,14.49
2001-08-01,23.2,63.07,14.79
2001-09-01,22.99,241.46,15.34
2001-10-01,22.02,133.06,15.55
2001-11-01,20.74,35.86,14.12
2001-12-01,18.9,14.87,11.19
2002-01-01,21.09,6.72,11.14
2002-02-01,22.48,10.37,9.39
2002-03-01,27.06,0.82,8.42
2002-04-01,29.67,8.1,10.18
2002-05-01,27.11,147.18,14.72
2002-06-01,23.82,124.56,16.01
2002-07-01,23.91,36.83,14.81
2002-08-01,23.61,40.74,14.3
2002-09-01,24.48,83.32,14.06
2002-10-01,22.91,171.18,14.77
2002-11-01,21.47,33.1,12.47
2002-12-01,20.21,5.53,9.27
2003-01-01,22.1,0.02,8.98
2003-02-01,25.6,2.3,9.63
2003-03-01,27.05,13.56,9.58
2003-04-01,28.49,63.66,11.46
2003-05-01,29.14,6.54,12.78
2003-06-01,25.2,67.81,14.79
2003-07-01,23.81,81.35,15.0
2003-08-01,23.46,114.22,15.1
2003-09-01,23.56,64.96,14.69
2003-10-01,22.67,182.55,15.07
2003-11-01,20.93,28.66,12.87
2003-12-01,20.52,4.4,10.36
2004-01-01,22.04,5.42,9.42
2004-02-01,23.73,0.38,7.61
2004-03-01,27.24,3.44,7.67
2004-04-01,28.48,47.15,12.41
2004-05-01,24.46,229.41,15.69
2004-06-01,23.58,36.23,15.47
2004-07-01,22.46,221.44,15.32
2004-08-01,22.59,60.53,15.18
2004-09-01,22.3,230.96,15.57
2004-10-01,22.04,129.98,15.18
2004-11-01,20.11,28.43,13.25
2004-12-01,19.02,1.16,10.11
2005-01-01,21.53,2.9,10.24
2005-02-01,24.12,5.77,8.19
2005-03-01,27.23,10.29,9.35
2005-04-01,26.61,81.13,13.74
2005-05-01,27.42,160.88,14.58
2005-06-01,24.06,50.68,15.85
2005-07-01,23.11,144.0,15.46
2005-08-01,22.8,183.9,15.55
2005-09-01,22.64,172.4,16.1
2005-10-01,21.98,431.14,16.13
2005-11-01,19.2,72.66,13.27
2005-12-01,18.96,19.66,12.62
2006-01-01,18.63,1.94,10.7
2006-02-01,20.1,0.0,8.19
2006-03-01,24.87,68.23,12.04
2006-04-01,28.26,31.7,11.62
2006-05-01,26.38,144.3,14.69
2006-06-01,23.84,122.85,15.36
2006-07-01,23.48,43.95,14.83
2006-08-01,23.63,46.99,14.49
2006-09-01,23.78,66.73,14.84
2006-10-01,23.7,72.97,14.46
2006-11-01,22.13,61.62,13.98
2006-12-01,20.17,2.97,10.44
2007-01-01,21.6,0.72,8.41
2007-02-01,23.53,1.79,8.28
2007-03-01,27.29,0.91,8.6
2007-04-01,27.73,105.92,12.1
2007-05-01,26.26,105.86,15.2
2007-06-01,24.36,64.04,15.54
2007-07-01,23.27,194.38,15.5
2007-08-01,22.42,178.42,15.52
2007-09-01,22.28,220.79,15.96
2007-10-01,21.66,149.83,15.08
2007-11-01,19.36,29.51,12.54
2007-12-01,19.24,44.17,12.13
2008-01-01,19.71,3.6,10.11
2008-02-01,22.93,19.3,11.38
2008-03-01,23.89,86.64,11.04
2008-04-01,26.75,19.98,11.34
2008-05-01,27.19,114.67,13.31
2008-06-01,23.96,48.35,14.88
2008-07-01,23.19,224.31,15.13
2008-08-01,22.55,262.98,15.58
2008-09-01,22.21,110.25,15.52
2008-10-01,21.96,162.18,14.85
2008-11-01,20.03,77.12,12.98
2008-12-01,18.72,1.79,11.5
2009-01-01,19.53,0.98,9.73
2009-02-01,23.06,0.0,8.53
2009-03-01,26.29,16.28,8.47
2009-04-01,28.48,39.78,11.08
2009-05-01,27.04,157.2,14.23
2009-06-01,23.44,95.86,15.17
2009-07-01,23.14,31.75,14.53
2009-08-01,23.54,133.89,15.2
2009-09-01,23.07,267.29,15.84
2009-10-01,21.88,31.47,14.22
2009-11-01,21.57,63.48,14.5
2009-12-01,21.0,20.34,12.48
2010-01-01,21.68,5.56,10.95
2010-02-01,24.68,0.0,8.91
2010-03-01,27.78,3.44,8.39
2010-04-01,28.16,93.34,12.93
2010-05-01,26.86,84.88,15.79
2010-06-01,24.23,96.85,15.58
2010-07-01,22.91,107.91,14.87
2010-08-01,23.09,157.54,15.66
2010-09-01,22.63,140.86,15.49
2010-10-01,22.45,123.14,15.92
2010-11-01,21.3,138.72,15.05
2010-12-01,19.52,16.87,12.67
2011-01-01,20.14,0.31,10.23
2011-02-01,21.97,13.7,9.43
2011-03-01,26.23,0.39,7.7
2011-04-01,27.48,105.02,11.69
2011-05-01,26.75,62.11,14.92
2011-06-01,24.4,25.54,14.48
2011-07-01,23.37,65.79,14.14
2011-08-01,23.16,123.08,14.86
2011-09-01,23.41,94.67,14.6
2011-10-01,23.02,100.98,14.82
2011-11-01,21.24,39.48,12.38
2011-12-01,20.62,10.27,10.24
2012-01-01,21.64,0.3,9.12
2012-02-01,24.18,0.0,7.54
2012-03-01,27.47,3.15,8.42
2012-04-01,28.48,35.27,11.46
2012-05-01,26.94,56.62,14.53
2012-06-01,25.56,27.17,13.55
2012-07-01,24.51,53.35,14.17
2012-08-01,23.73,92.81,14.3
2012-09-01,23.66,58.37,14.25
2012-10-01,22.87,115.0,13.9
