issue_date,date,T2M,PRECTOTCORR_SUM,QV2M,T2MDEW,PSFC,MSL
2017-01-01,2017-02-01,22.371712,3.432734490025277,8.246919,9.786874,92.02392,101.33788
2017-01-01,2017-03-01,25.088902,3.649591591428308,7.984068,9.251517,92.02133,101.24691
2017-01-01,2017-04-01,28.002594,9.068726169712404,8.788566,10.665283,91.937454,101.06198
2017-01-01,2017-05-01,29.390932,38.32128460573799,11.309659,14.492968,91.80138,100.86906
2017-01-01,2017-06-01,27.966413,96.10913199536941,14.517166,18.397518,91.67754,100.77752
2017-01-01,2017-07-01,25.18862,116.74680821568359,15.444428,19.411415,91.63012,100.813286
2017-02-01,2017-03-01,23.567215,3.941146259360454,8.705378,10.585013,92.058784,101.337265
2017-02-01,2017-04-01,27.50899,14.136695997679935,8.868048,10.770575,91.951515,101.093025
2017-02-01,2017-05-01,29.150717,32.94643883290244,11.459876,14.704997,91.843124,100.92244
2017-02-01,2017-06-01,28.358557,84.91669123663621,14.228206,18.088575,91.71534,100.806755
2017-02-01,2017-07-01,25.225079,112.61154746074303,15.390333,19.363392,91.65696,100.84164
2017-02-01,2017-08-01,23.9019,133.8614095916935,15.193264,19.161713,91.680824,100.91041
2017-03-01,2017-04-01,26.270872,36.79704790606218,10.966519,14.033978,91.91727,101.09465
2017-03-01,2017-05-01,28.818483,34.9536946374996,11.297757,14.487061,91.86178,100.95328
2017-03-01,2017-06-01,28.394608,82.85326405483134,14.189167,18.044538,91.72982,100.82155
2017-03-01,2017-07-01,25.339672,116.20114644602234,15.511128,19.48628,91.65911,100.84037
2017-03-01,2017-08-01,24.034544,124.15986228106068,15.160951,19.131477,91.70242,100.92992
2017-03-01,2017-09-01,23.83496,107.375508091029,15.20571,19.189535,91.76274,101.00274
2017-04-01,2017-05-01,29.176748,32.559354908618275,11.2150345,14.402908,91.83625,100.914
2017-04-01,2017-06-01,27.737247,111.2279786958414,14.949139,18.885239,91.71349,100.82419
2017-04-01,2017-07-01,24.88714,116.55613205012153,15.536561,19.51352,91.649345,100.84409
2017-04-01,2017-08-01,23.717875,151.40015951324912,15.2631,19.234993,91.67752,100.91271
2017-04-01,2017-09-01,23.596455,124.03454058310565,15.3606,19.346115,91.732056,100.97666
2017-04-01,2017-10-01,24.264107,82.69300926432891,15.084429,19.07116,91.85032,101.08526
2017-05-01,2017-06-01,27.271786,119.42769807927749,15.071576,19.018488,91.697464,100.821205
2017-05-01,2017-07-01,24.479736,116.16369868961036,15.563396,19.542753,91.65848,100.86721
2017-05-01,2017-08-01,23.63949,130.96191190037072,15.223726,19.197811,91.69077,100.92983
2017-05-01,2017-09-01,23.588715,135.02321558840134,15.41063,19.39659,91.724724,100.968834
2017-05-01,2017-10-01,23.99157,97.77283018009335,15.242131,19.23212,91.8039,101.04298
2017-05-01,2017-11-01,23.709946,136.07859555412742,15.300667,19.303946,92.00001,101.26796
2017-06-01,2017-07-01,24.486645,113.96920568802777,15.659503,19.640131,91.644226,100.85127
2017-06-01,2017-08-01,23.475677,146.42615319934546,15.2477,19.214226,91.64021,100.87947
2017-06-01,2017-09-01,23.522905,133.94416837131277,15.482271,19.465878,91.7003,100.94408
2017-06-01,2017-10-01,23.951502,93.04987365358016,15.3538265,19.342094,91.76695,101.00359
2017-06-01,2017-11-01,23.608652,145.73565798647263,15.495036,19.51203,91.93995,101.20512
