step,date,cases,pop,T2M,T2M_lag1,T2M_lag2,PRECTOTCORR_SUM,PRECTOTCORR_SUM_lag1,PRECTOTCORR_SUM_lag2,QV2M,QV2M_lag1,QV2M_lag2
48,2021-12-01,,13187000,19.81,21.33,22.82,13.54,200.97,181.44,12.87,15.4,16.27
49,2022-01-01,7,13187000,20.86,19.81,21.33,2.2,13.54,200.97,12.24,12.87,15.4
50,2022-02-01,20,13187000,22.57,20.86,19.81,0,2.2,13.54,10.38,12.24,12.87
51,2022-03-01,3,13187000,26.38,22.57,20.86,11.94,0,2.2,9.41,10.38,12.24
52,2022-04-01,8,13187000,27.99,26.38,22.57,50.46,11.94,0,12.13,9.41,10.38
53,2022-05-01,31,13187000,25.69,27.99,26.38,189.97,50.46,11.94,15.62,12.13,9.41
54,2022-06-01,54,13187000,23.72,25.69,27.99,152.78,189.97,50.46,15.42,15.62,12.13
55,2022-07-01,151,13187000,23.01,23.72,25.69,123.13,152.78,189.97,15.57,15.42,15.62
56,2022-08-01,332,13187000,22.84,23.01,23.72,497.71,123.13,152.78,15.92,15.57,15.42
57,2022-09-01,637,13187000,22.47,22.84,23.01,158.19,497.71,123.13,15.99,15.92,15.57
58,2022-10-01,1146,13187000,21.88,22.47,22.84,180.64,158.19,497.71,15.36,15.99,15.92
59,2022-11-01,698,13187000,20.31,21.88,22.47,67.01,180.64,158.19,13.83,15.36,15.99
60,2022-12-01,380,13187000,20.02,20.31,21.88,96.67,67.01,180.64,13.34,13.83,15.36
61,2023-01-01,274,13187000,18.82,20.02,20.31,0.23,96.67,67.01,10.37,13.34,13.83
62,2023-02-01,170,13187000,21.88,18.82,20.02,0.27,0.23,96.67,8.88,10.37,13.34
63,2023-03-01,144,13187000,24.86,21.88,18.82,39.91,0.27,0.23,10.19,8.88,10.37
64,2023-04-01,145,13187000,28,24.86,21.88,29.83,39.91,0.27,10.76,10.19,8.88
65,2023-05-01,408,13187000,26.85,28,24.86,135.36,29.83,39.91,15.5,10.76,10.19
66,2023-06-01,2297,13187000,25.59,26.85,28,100.2,135.36,29.83,15.28,15.5,10.76
67,2023-07-01,5171,13187000,23.94,25.59,26.85,70.74,100.2,135.36,14.97,15.28,15.5
68,2023-08-01,5300,13187000,25.39,23.94,25.59,65.93,70.74,100.2,14.87,14.97,15.28
69,2023-09-01,5685,13187000,23.4,25.39,23.94,169.39,65.93,70.74,15.61,14.87,14.97
70,2023-10-01,5646,13187000,23.49,23.4,25.39,57.45,169.39,65.93,14.58,15.61,14.87
71,2023-11-01,2814,13187000,23.15,23.49,23.4,68.07,57.45,169.39,14.4,14.58,15.61
72,2023-12-01,1393,13187000,22.3,23.15,23.49,16.92,68.07,57.45,12.59,14.4,14.58
73,2024-01-01,742,13187000,23,22.3,23.15,3.36,16.92,68.07,10.89,12.59,14.4
74,2024-02-01,359,13187000,25.38,23,22.3,0,3.36,16.92,9.29,10.89,12.59
75,2024-03-01,373,13187000,27.99,25.38,23,0,0,3.36,8.58,9.29,10.89
76,2024-04-01,904,13187000,30.31,27.99,25.38,0.1,0,0,9.85,8.58,9.29
77,2024-05-01,1896,13187000,27.71,30.31,27.99,116.14,0.1,0,15.52,9.85,8.58
78,2024-06-01,4962,13187000,24.09,27.71,30.31,148.02,116.14,0.1,15.18,15.52,9.85
79,2024-07-01,10672,13187000,23.7,24.09,27.71,61.55,148.02,116.14,15.22,15.18,15.52
80,2024-08-01,3634,13187000,23.9,23.7,24.09,189.82,61.55,148.02,16.32,15.22,15.18
81,2024-09-01,3075,13187000,23.92,23.9,23.7,49.52,189.82,61.55,15.41,16.32,15.22
82,2024-10-01,1042,13187000,23.2,23.92,23.9,227.41,49.52,189.82,16.28,15.41,16.32
83,2024-11-01,614,13187000,21.88,23.2,23.92,41.53,227.41,49.52,14.61,16.28,15.41
84,2024-12-01,375,13187000,21.58,21.88,23.2,101.31,41.53,227.41,14.41,14.61,16.28
85,2025-01-01,245,13187000,20.73,21.58,21.88,6.66,101.31,41.53,10.73,14.41,14.61
86,2025-02-01,219,13187000,23.38,20.73,21.58,0,6.66,101.31,8.52,10.73,14.41
87,2025-03-01,224,13187000,27.19,23.38,20.73,5.74,0,6.66,9.27,8.52,10.73
88,2025-04-01,183,13187000,28.3,27.19,23.38,37.08,5.74,0,11.93,9.27,8.52
89,2025-05-01,428,13187000,25.9,28.3,27.19,198.49,37.08,5.74,15.3,11.93,9.27
90,2025-06-01,551,13187000,24.3,25.9,28.3,43.88,198.49,37.08,15.19,15.3,11.93
91,2025-07-01,573,13187000,24.02,24.3,25.9,60.5,43.88,198.49,14.88,15.19,15.3
92,2025-08-01,479,13187000,23.28,24.02,24.3,148.68,60.5,43.88,15.47,14.88,15.19
93,2025-09-01,435,13187000,23.14,23.28,24.02,151.55,148.68,60.5,15.81,15.47,14.88
94,2025-10-01,433,13187000,22.88,23.14,23.28,143.96,151.55,148.68,15.87,15.81,15.47
95,2025-11-01,413,13187000,21.17,22.88,23.14,24.55,143.96,151.55,13.52,15.87,15.81
96,2025-12-01,241,13187000,20.42,21.17,22.88,3.61,24.55,143.96,10.85,13.52,15.87
