date,T2M,PRECTOTCORR_SUM,QV2M
2000-01-01,24.82,0.88,7.54
2000-02-01,24.54,2.84,9.79
2000-03-01,27.44,0.03,9.39
2000-04-01,29.04,17.21,14.01
2000-05-01,27.03,145.18,16.07
2000-06-01,24.32,422.28,17.96
2000-07-01,23.32,464.55,17.28
2000-08-01,23.54,266.37,17.29
2000-09-01,24.21,160.64,17.46
2000-10-01,23.91,82.43,16.6
2000-11-01,22.99,7.44,12.66
2000-12-01,22.43,4.01,8.2
2001-01-01,24.78,1.4,8.22
2001-02-01,26.15,0.0,7.66
2001-03-01,26.77,0.0,10.1
2001-04-01,29.21,17.79,13.61
2001-05-01,27.96,76.22,15.4
2001-06-01,24.77,258.61,17.16
2001-07-01,23.81,401.92,17.38
2001-08-01,23.44,245.16,17.25
2001-09-01,23.76,85.11,17.05
2001-10-01,23.49,98.86,15.99
2001-11-01,24.28,18.41,13.13
2001-12-01,23.36,1.0,9.35
2002-01-01,23.63,0.05,8.71
2002-02-01,26.68,0.88,8.78
2002-03-01,28.57,0.1,10.79
2002-04-01,29.93,10.52,13.9
2002-05-01,28.2,51.32,16.68
2002-06-01,25.12,511.85,18.29
2002-07-01,24.26,177.54,17.6
2002-08-01,23.7,349.39,17.36
2002-09-01,23.83,57.95,16.59
2002-10-01,24.73,137.32,16.77
2002-11-01,24.56,2.35,12.46
2002-12-01,23.84,0.04,8.58
2003-01-01,25.03,0.18,9.13
2003-02-01,26.87,3.44,9.84
2003-03-01,28.38,13.95,11.02
2003-04-01,29.74,31.16,13.31
2003-05-01,29.57,13.9,14.92
2003-06-01,26.12,396.76,17.94
2003-07-01,24.3,373.3,18.43
2003-08-01,24.07,206.89,17.86
2003-09-01,23.93,87.54,17.1
2003-10-01,24.25,109.6,16.43
2003-11-01,24.35,3.18,12.53
2003-12-01,23.75,2.71,8.37
2004-01-01,23.78,0.01,8.81
2004-02-01,26.2,0.06,8.11
2004-03-01,29.2,1.92,11.3
2004-04-01,29.51,16.41,13.09
2004-05-01,26.86,198.07,16.94
2004-06-01,24.4,372.81,18.0
2004-07-01,23.92,316.92,17.68
2004-08-01,23.52,346.28,17.33
2004-09-01,23.86,118.79,17.2
2004-10-01,23.7,61.2,15.68
2004-11-01,23.76,25.94,12.27
2004-12-01,23.05,0.0,7.73
2005-01-01,24.5,1.06,8.74
2005-02-01,26.05,0.19,8.69
2005-03-01,27.81,0.5,10.33
2005-04-01,28.9,57.42,13.77
2005-05-01,28.69,48.6,15.2
2005-06-01,25.38,559.25,18.51
2005-07-01,24.16,732.42,18.57
2005-08-01,23.77,343.56,17.85
2005-09-01,23.88,382.93,17.84
2005-10-01,23.84,121.84,16.61
2005-11-01,20.81,2.92,12.37
2005-12-01,21.67,0.06,10.4
2006-01-01,23.45,0.03,8.37
2006-02-01,25.93,0.0,7.54
2006-03-01,26.76,26.42,11.38
2006-04-01,28.96,5.25,12.57
2006-05-01,28.1,275.64,15.85
2006-06-01,24.62,475.29,18.4
2006-07-01,23.81,394.02,17.85
2006-08-01,23.36,385.49,17.36
