step,date,cases,pop,T2M,T2M_lag1,T2M_lag2,PRECTOTCORR_SUM,PRECTOTCORR_SUM_lag1,PRECTOTCORR_SUM_lag2,QV2M,QV2M_lag1,QV2M_lag2
0,2014-12-01,,1540000.0,22.03,22.13,24.03,19.04,27.88,185.21,11.62,13.32,16.62
1,2015-01-01,9.0,1540000.0,22.25,22.03,22.13,0.44,19.04,27.88,9.21,11.62,13.32
2,2015-02-01,2.0,1540000.0,25.27,22.25,22.03,7.19,0.44,19.04,8.22,9.21,11.62
3,2015-03-01,9.0,1540000.0,26.99,25.27,22.25,25.97,7.19,0.44,12.03,8.22,9.21
4,2015-04-01,2.0,1540000.0,28.61,26.99,25.27,30.26,25.97,7.19,13.06,12.03,8.22
5,2015-05-01,17.0,1540000.0,28.35,28.61,26.99,92.67,30.26,25.97,16.6,13.06,12.03
6,2015-06-01,34.0,1540000.0,25.06,28.35,28.61,464.43,92.67,30.26,17.99,16.6,13.06
7,2015-07-01,76.0,1540000.0,24.38,25.06,28.35,324.17,464.43,92.67,18.06,17.99,16.6
8,2015-08-01,47.0,1540000.0,24.23,24.38,25.06,283.11,324.17,464.43,17.93,18.06,17.99
9,2015-09-01,12.0,1540000.0,24.13,24.23,24.38,166.38,283.11,324.17,17.41,17.93,18.06
10,2015-10-01,39.0,1540000.0,24.64,24.13,24.23,73.16,166.38,283.11,16.77,17.41,17.93
11,2015-11-01,37.0,1540000.0,24.64,24.64,24.13,17.57,73.16,166.38,14.51,16.77,17.41
12,2015-12-01,9.0,1540000.0,24.9,24.64,24.64,1.23,17.57,73.16,11.06,14.51,16.77
13,2016-01-01,10.0,1540000.0,24.4,24.9,24.64,0.07,1.23,17.57,8.37,11.06,14.51
14,2016-02-01,6.0,1540000.0,26.54,24.4,24.9,0.03,0.07,1.23,10.34,8.37,11.06
15,2016-03-01,12.0,1540000.0,28.73,26.54,24.4,7.35,0.03,0.07,11.34,10.34,8.37
16,2016-04-01,1.0,1540000.0,29.83,28.73,26.54,12.36,7.35,0.03,13.36,11.34,10.34
17,2016-05-01,24.0,1540000.0,29.25,29.83,28.73,34.33,12.36,7.35,15.87,13.36,11.34
18,2016-06-01,7.0,1540000.0,25.18,29.25,29.83,595.14,34.33,12.36,17.91,15.87,13.36
19,2016-07-01,7.0,1540000.0,23.84,25.18,29.25,685.58,595.14,34.33,18.16,17.91,15.87
20,2016-08-01,23.0,1540000.0,23.72,23.84,25.18,388.27,685.58,595.14,17.66,18.16,17.91
21,2016-09-01,15.0,1540000.0,23.39,23.72,23.84,161.62,388.27,685.58,17.0,17.66,18.16
22,2016-10-01,8.0,1540000.0,22.86,23.39,23.72,71.17,161.62,388.27,14.98,17.0,17.66
23,2016-11-01,18.0,1540000.0,22.3,22.86,23.39,13.91,71.17,161.62,10.77,14.98,17.0
24,2016-12-01,19.0,1540000.0,23.45,22.3,22.86,1.2,13.91,71.17,8.71,10.77,14.98
25,2017-01-01,14.0,1540000.0,24.35,23.45,22.3,0.0,1.2,13.91,7.73,8.71,10.77
26,2017-02-01,15.0,1540000.0,26.5,24.35,23.45,0.0,0.0,1.2,7.73,7.73,8.71
27,2017-03-01,20.0,1540000.0,27.45,26.5,24.35,0.73,0.0,0.0,10.5,7.73,7.73
28,2017-04-01,13.0,1540000.0,29.53,27.45,26.5,6.25,0.73,0.0,12.8,10.5,7.73
29,2017-05-01,23.0,1540000.0,28.88,29.53,27.45,67.93,6.25,0.73,15.98,12.8,10.5
30,2017-06-01,13.0,1540000.0,25.29,28.88,29.53,346.16,67.93,6.25,18.15,15.98,12.8
31,2017-07-01,24.0,1540000.0,24.3,25.29,28.88,401.34,346.16,67.93,18.1,18.15,15.98
32,2017-08-01,21.0,1540000.0,24.18,24.3,25.29,291.82,401.34,346.16,17.95,18.1,18.15
33,2017-09-01,12.0,1540000.0,24.49,24.18,24.3,299.8,291.82,401.34,18.04,17.95,18.1
34,2017-10-01,29.0,1540000.0,24.1,24.49,24.18,126.25,299.8,291.82,17.12,18.04,17.95
