date,T2M,PRECTOTCORR_SUM,QV2M
2000-01-01,23.53,77.6,13.89
2000-02-01,23.89,73.56,14.16
2000-03-01,23.8,69.27,13.0
2000-04-01,25.41,65.63,14.8
2000-05-01,26.26,111.87,16.08
2000-06-01,27.01,73.81,16.77
2000-07-01,27.53,73.31,17.19
2000-08-01,27.77,142.68,18.05
2000-09-01,27.49,218.5,18.41
2000-10-01,27.1,129.52,17.94
2000-11-01,26.16,98.4,16.42
2000-12-01,25.52,80.62,15.75
2001-01-01,24.96,55.01,14.52
2001-02-01,24.47,78.48,14.19
2001-03-01,25.48,73.84,14.97
2001-04-01,25.84,93.97,15.11
2001-05-01,26.91,184.13,17.13
2001-06-01,27.38,67.72,17.29
2001-07-01,27.87,92.22,17.67
2001-08-01,28.02,139.13,18.52
2001-09-01,27.98,113.24,18.16
2001-10-01,27.34,178.39,18.63
2001-11-01,26.17,120.18,16.54
2001-12-01,25.53,125.03,17.08
2002-01-01,24.98,90.18,15.78
2002-02-01,24.63,62.71,14.46
2002-03-01,25.11,81.61,14.92
2002-04-01,25.44,171.03,15.95
2002-05-01,26.39,126.66,16.67
2002-06-01,27.02,121.65,18.02
2002-07-01,27.66,88.86,17.84
2002-08-01,28.15,108.97,18.23
2002-09-01,27.9,239.6,18.68
2002-10-01,27.22,114.76,18.43
2002-11-01,26.99,85.86,17.49
2002-12-01,25.91,77.81,16.23
2003-01-01,25.57,93.14,15.62
2003-02-01,25.55,69.05,15.52
2003-03-01,26.03,79.7,15.31
2003-04-01,26.38,142.6,16.64
2003-05-01,26.96,90.88,16.67
2003-06-01,26.91,94.71,17.48
2003-07-01,27.41,98.6,17.81
2003-08-01,27.79,136.01,18.46
2003-09-01,27.85,151.39,18.76
2003-10-01,27.72,169.47,18.68
2003-11-01,26.3,238.44,18.01
2003-12-01,25.21,143.33,16.46
2004-01-01,24.41,93.82,15.14
2004-02-01,24.85,90.78,15.12
2004-03-01,24.83,104.64,14.78
2004-04-01,25.94,114.62,15.96
2004-05-01,26.12,200.94,17.27
2004-06-01,27.2,88.07,18.14
2004-07-01,27.45,128.2,18.19
2004-08-01,27.93,116.05,18.42
2004-09-01,27.55,273.97,18.96
2004-10-01,27.09,157.16,18.15
2004-11-01,25.55,151.68,16.57
2004-12-01,24.93,92.42,16.23
2005-01-01,23.91,91.41,14.73
2005-02-01,23.36,79.1,13.43
2005-03-01,25.61,74.45,15.45
2005-04-01,26.96,142.89,17.19
2005-05-01,27.03,258.48,18.39
2005-06-01,27.67,165.86,19.29
2005-07-01,27.82,158.66,19.53
2005-08-01,28.07,179.07,19.39
2005-09-01,28.32,163.48,19.35
2005-10-01,27.36,343.98,19.4
2005-11-01,26.51,113.36,17.52
2005-12-01,25.14,88.77,15.69
2006-01-01,24.66,101.21,15.05
2006-02-01,24.68,74.84,14.75
2006-03-01,25.18,100.07,14.85
2006-04-01,26.01,108.56,15.94
2006-05-01,27.0,110.04,17.06
2006-06-01,27.83,115.0,18.32
2006-07-01,27.51,185.95,18.51
2006-08-01,27.58,145.17,18.72
2006-09-01,28.16,128.59,18.68
2006-10-01,27.83,237.87,19.09
2006-11-01,26.94,88.59,17.45
2006-12-01,25.98,69.59,16.54
2007-01-01,25.28,18.21,14.91
2007-02-01,25.87,18.38,15.25
2007-03-01,26.11,80.23,15.32
2007-04-01,26.46,43.53,15.94
2007-05-01,27.85,143.22,17.43
2007-06-01,27.96,57.11,17.91
2007-07-01,28.29,65.58,17.9
2007-08-01,28.25,99.38,18.48
2007-09-01,28.19,75.63,18.23
2007-10-01,27.37,218.4,18.36
2007-11-01,26.53,44.67,16.88
2007-12-01,25.79,49.44,15.92
2008-01-01,24.94,25.12,14.43
2008-02-01,25.15,14.53,14.13
2008-03-01,25.18,19.53,13.74
2008-04-01,26.0,40.58,15.0
2008-05-01,27.29,48.46,16.03
2008-06-01,27.54,83.24,17.66
2008-07-01,27.95,35.61,17.62
2008-08-01,28.29,174.98,18.77
2008-09-01,27.43,344.11,19.21
2008-10-01,26.94,113.43,18.14
2008-11-01,26.14,47.18,16.84
2008-12-01,25.06,18.3,14.99
2009-01-01,25.27,27.7,15.35
2009-02-01,24.9,32.39,14.1
2009-03-01,24.36,46.81,13.48
2009-04-01,25.96,27.92,14.69
2009-05-01,25.95,147.54,16.98
2009-06-01,27.34,55.69,17.84
2009-07-01,28.21,54.6,18.34
