step,date,cases,pop,T2M,T2M_lag1,T2M_lag2,PRECTOTCORR_SUM,PRECTOTCORR_SUM_lag1,PRECTOTCORR_SUM_lag2,QV2M,QV2M_lag1,QV2M_lag2
0,2003-03-01,,2271796.0,26.03,25.55,25.57,79.7,69.05,93.14,15.31,15.52,15.62
1,2003-04-01,22.0,2271796.0,26.38,26.03,25.55,142.6,79.7,69.05,16.64,15.31,15.52
2,2003-05-01,28.0,2271796.0,26.96,26.38,26.03,90.88,142.6,79.7,16.67,16.64,15.31
3,2003-06-01,47.0,2271796.0,26.91,26.96,26.38,94.71,90.88,142.6,17.48,16.67,16.64
4,2003-07-01,91.0,2271796.0,27.41,26.91,26.96,98.6,94.71,90.88,17.81,17.48,16.67
5,2003-08-01,109.0,2271796.0,27.79,27.41,26.91,136.01,98.6,94.71,18.46,17.81,17.48
6,2003-09-01,126.0,2271796.0,27.85,27.79,27.41,151.39,136.01,98.6,18.76,18.46,17.81
7,2003-10-01,183.0,2271796.0,27.72,27.85,27.79,169.47,151.39,136.01,18.68,18.76,18.46
8,2003-11-01,140.0,2271796.0,26.3,27.72,27.85,238.44,169.47,151.39,18.01,18.68,18.76
9,2003-12-01,92.0,2271796.0,25.21,26.3,27.72,143.33,238.44,169.47,16.46,18.01,18.68
10,2004-01-01,80.0,2271796.0,24.41,25.21,26.3,93.82,143.33,238.44,15.14,16.46,18.01
11,2004-02-01,48.0,2271796.0,24.85,24.41,25.21,90.78,93.82,143.33,15.12,15.14,16.46
12,2004-03-01,29.0,2271796.0,24.83,24.85,24.41,104.64,90.78,93.82,14.78,15.12,15.14
13,2004-04-01,25.0,2271796.0,25.94,24.83,24.85,114.62,104.64,90.78,15.96,14.78,15.12
14,2004-05-01,27.0,2271796.0,26.12,25.94,24.83,200.94,114.62,104.64,17.27,15.96,14.78
15,2004-06-01,49.0,2271796.0,27.2,26.12,25.94,88.07,200.94,114.62,18.14,17.27,15.96
16,2004-07-01,62.0,2271796.0,27.45,27.2,26.12,128.2,88.07,200.94,18.19,18.14,17.27
17,2004-08-01,55.0,2271796.0,27.93,27.45,27.2,116.05,128.2,88.07,18.42,18.19,18.14
18,2004-09-01,77.0,2271796.0,27.55,27.93,27.45,273.97,116.05,128.2,18.96,18.42,18.19
19,2004-10-01,70.0,2271796.0,27.09,27.55,27.93,157.16,273.97,116.05,18.15,18.96,18.42
20,2004-11-01,44.0,2271796.0,25.55,27.09,27.55,151.68,157.16,273.97,16.57,18.15,18.96
21,2004-12-01,44.0,2271796.0,24.93,25.55,27.09,92.42,151.68,157.16,16.23,16.57,18.15
22,2005-01-01,56.0,2271796.0,23.91,24.93,25.55,91.41,92.42,151.68,14.73,16.23,16.57
23,2005-02-01,41.0,2271796.0,23.36,23.91,24.93,79.1,91.41,92.42,13.43,14.73,16.23
24,2005-03-01,24.0,2271796.0,25.61,23.36,23.91,74.45,79.1,91.41,15.45,13.43,14.73
25,2005-04-01,18.0,2271796.0,26.96,25.61,23.36,142.89,74.45,79.1,17.19,15.45,13.43
26,2005-05-01,15.0,2271796.0,27.03,26.96,25.61,258.48,142.89,74.45,18.39,17.19,15.45
